REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2145,46,17531316,1025000002411,2145,044599780,9/1/2013,"АКБ ""ХОВАНСКИЙ"" (ЗАО)","141200, Московская область, г. Пушкино, Писаревский проезд, д 7",1,22
2148,18,22498791,1023400000271,2148,041806799,9/1/2013,"ОАО ""АКБ ""КОР""","400087, г. Волгоград, ул. Невская, 3",1,27
2152,40,23530918,1027800000403,2152,044030724,9/1/2013,"ОАО ""СЕВЗАПИНВЕСТПРОМБАНК""","191040, г. Санкт-Петербург, ул. Марата, 36-38, литер А",1,22
2156,45,17507529,1027739345281,2156,044585272,9/1/2013,"ЗАО ""Нефтепромбанк""","123001,  г. Москва, Вспольный пер., д.19/20, стр.1",1,22
2157,45,17508352,1027739174759,2157,044585549,9/1/2013,"АКБ ""ФИНПРОМБАНК"" (ОАО)","107045,  г. Москва, Последний переулок, д.24",1,22
2158,45,17530400,1037700126089,2158,044583260,9/1/2013,"АКБ ""БАСМАННЫЙ"" (ЗАО)","105066,  г. Москва, ул.Нижняя Красносельская, д.35, стр. 52",1,31
2166,45,17528320,1027739738135,2166,044585249,9/1/2013,"КБ ""Информпрогресс"" (ООО)","109012, г. Москва, ул. Никольская, д.19-21/1",1,22
2167,45,21783124,1022300000051,2167,044585228,9/1/2013,"ОАО АПБ ""Екатерининский""","125009, г. Москва, Леонтьевский пер., д. 25",1,22
2168,45,24387587,1027739664260,2168,044525811,9/1/2013,"""Сетелем Банк"" ООО","125040, г. Москва, ул. Правды, д. 26",1,22
2170,45,29296062,1027700458224,2170,044525933,9/1/2013,"АКБ ""НРБанк"" (ОАО)","117036, г. Москва, просп. 60-летия Октября, 10 А",1,22
2179,45,29310827,1037711013295,2179,044585297,9/1/2013,"ОАО Банк ""ОТКРЫТИЕ""","119021, г. Москва, ул. Тимура Фрунзе, д. 11, стр. 13",1,31
2192,45,17528047,1037739599402,2192,044583337,9/1/2013,"КБ ""Рублевский"" ООО","119991,  г. Москва, ул. Льва Толстого, д.5/1, стр.1",1,22
2207,92,13000065,1021600000421,2207,049205858,9/1/2013,"АКБ ""Спурт"" (ОАО)","420107, г.Казань, ул.Спартаковская, дом 2",1,22
2208,53,11921234,1025600000854,2208,045354860,9/1/2013,"АКБ ""Форштадт"" (ЗАО)","460001, Оренбургская область, г. Оренбург, ул. Чкалова, 35/1",1,27
2209,45,17526887,1027739019208,2209,044525985,9/1/2013,"""НОМОС-БАНК"" (ОАО)","109240, г. Москва, ул. Верхняя Радищевская, д.3, стр.1",1,31
2210,45,26237308,1027739186970,2210,044525388,9/1/2013,"""ТКБ"" (ЗАО)","109147,  г. Москва, ул.Воронцовская, д.27/35",1,31
2211,45,24153783,1027739136622,2211,044579741,9/1/2013,"КБ ""РЭБ"" (ЗАО)","105062, г. Москва, пер. Подсосенский, д. 30, стр. 3",1,27
2216,45,17512023,1027739177377,2216,044525922,9/1/2013,"ЗАО ""Банк Интеза""","101000,  г. Москва, Петроверигский пер., д. 2",1,27
2225,60,27210292,1026100001949,2225,046015762,9/1/2013,"ОАО КБ ""Центр-инвест""","344000, г. Ростов-на-Дону, пр. Соколова, 62",1,31
