REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
1521,45,17508783,1027739265355,1521,044552663,6/1/2010,"АКИБ ""ОБРАЗОВАНИЕ"" (ЗАО)","119991,  г. Москва, Ленинский проспект, д. 63/2, корпус 1",Первый заместитель генерального директора,Майданов А.А.,Главный бухгалтер,Куренкова Т.В.,Начальник отдела экономического анализа и сводной отчетности,Высоких В.Л.,788-98-60,31
1555,45,17526367,1027739165409,1555,044552664,6/1/2010,"АПБ ""Солидарность"" (ЗАО)","119334,  г. Москва, Ленинский проспект, дом 37, корпус 1",Заместитель Председателя Правления,Е.Н.Стулов,Главный бухгалтер,Т.В.Семеютина,Главный специалист,О.В.Емельянова,952-56-29,19
1573,45,13243000,1027739857958,1573,044583666,6/1/2010,"ОАО ""РосДорБанк""","115093,  г. Москва, ул. Дубининская, дом 86",Заместитель Председателя Правления,Виноградов А.В.,Заместитель Главного бухгалтера,Просужих В.С.,Экономист,Ибрагимова Л.Т.,(495) 959-60-01 (2-433),31
1598,45,09308296,1037739001079,1598,044579694,6/1/2010,"ОАО АКБ ""Лесбанк""","107031, г. Москва, Дмитровский пер., д.3, стр.4",Первый заместитель Председателя Правления,Шурыгина М.Г.,Главный бухгалтер,Скоробогатова И.В.,Начальник отдела отчетности,Лапшина Н.П.,956 19 20,19
1608,27,09307415,1083900000140,1608,042748802,6/1/2010,"ОАО КБ ""РЕГИОНАЛЬНЫЙ КРЕДИТНЫЙ БАНК""","236022, город Калининград, ул.Шиллера, дом 7",Председатель  Правления,Арушанова Наталия Сергеевна,Главный  бухгалтер,Семенова Елена Анатольевна,Начальник отдела отчетности,Клецкина Гульнара Шариповна,95-13-65,31
1617,60,12135515,1026100011200,1617,046015872,6/1/2010,"ООО КБ ""Донинвест""","344011, г. Ростов-на-Дону, пер. Халтуринский, 99",Первый Заместитель Председателя Правления,Куранова Г.Д.,Главный бухгалтер,Зеленцова А.З.,Исполнитель,Вернигорова Е.А.,267-81-52,24
1627,45,16897854,1021800004269,1627,044525810,6/1/2010,"ООО ""Городской Ипотечный Банк""","123317, г. Москва, ул. Тестовская, дом 10",Первый Заместитель Председателя Правления,Исеев Р.М.,Главный бухгалтер,Дулина В.А.,Начальник отдела внешней отчетности,Поселяничева А.В.,(495) 783 7575 (доб.1059),24
1637,45,09307556,1027739296584,1637,044583685,6/1/2010,"КБ ""СДМ-БАНК"" (ОАО)","125424,  г. Москва, Волоколамское шоссе, д.73",Член Правления - Первый Заместитель Председателя Правления,Злобина О.Б.,Главный бухгалтер,Замилацкая Г.Е.,Начальник отдела отчетности прерд ЦБ РФ,Шкен?ва Л.Н.,777-11-92,31
1657,45,09307562,1037700024581,1657,044552684,6/1/2010,"КБ ""ИНТЕРКОММЕРЦ"" (ООО)","119435,  г. Москва, Большой Саввинский пер., д. 2-4-6, стр. 10",Председатель Правления,Бугаевский А. С.,Главный бухгалтер,Ибрагимова А.С.,Начальник отдела отчетности,Калинина Л.Н.,380-22-22,19
1661,45,17528716,1027739126865,1661,044579723,6/1/2010,"ОАО РАКБ ""МОСКВА""","121019, г. Москва, Малый Знаменский переулок, дом 3-5/3/6, строение 9",Заместитель Председателя Правления,Чжен Ольга Валентиновна,Главный бухгалтер,Никульцева Лариса Викторовна,Главный экономист отдела отчетности,Стриганова Наталья Викторовна,777-97-97,19
1663,87,09801517,1021100000085,1663,048717730,6/1/2010,"ОАО Комирегионбанк ""Ухтабанк""","169300, Республика Коми, г.Ухта, ул.Октябрьская, 14",И.о. Председателя Правления,Ульныров М.В.,Главный бухгалтер,Ващенко С.А.,Старший экономист,Прыганова О.Н.,6 07 80,24
1673,83,09128084,1020700000826,1673,048341736,6/1/2010,"ООО ""Банк ""Майский""","361115, Кабардино - Балкарская Республика, г. Майский, ул. Ленина, 23",Руководитель,В.В. Лозинина,Главный бухгалтер,В.И. Заремба,Пом. пред. Правления,Мурадян Л.Б.,22-4-63,19
1676,46,17501404,1025000002015,1676,044552700,6/1/2010,"ООО ""ЕВРАЗБАНК""","143026, Московская область, Одинцовский район, р.п. Новоивановское, ул. Агрохимиков, д.6",Заместитель Председателя Правления,Плетнева Е.И.,Зам. главного бухгалтера - нач. отдела отчетности,Осинина М.А.,Зам.главного бухгалтера-нач.отдела отчетности,Осинина М.А.,510-10-15,27
1679,45,09308314,1037739315965,1679,044579611,6/1/2010,"ООО КБ ""ДОРИС БАНК""","125009, Москва, Георгиевский переулок, д. 1, стр. 1",ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ,МАКСИМОВА МАРИНА ИГОРЕВНА,ГЛАВНЫЙ БУХГАЛТЕР,ВИШОВАН ЛЮДМИЛА ПАВЛОВНА,ГЛАВНЫЙ БУХГАЛТЕР,ВИШОВАН ЛЮДМИЛА ПАВЛОВНА,692-44-55,19
1680,40,20501862,1027800000953,1680,044030882,6/1/2010,Креди Агриколь КИБ ЗАО,"191186, Санкт-Петербург, Невский пр. дом 12",Административный директор,Овсянников А.Г.,Зам. главного бухгалтера,Павлова Е.В.,Начальник отд. отчетности,Астюкевич А.С.,(495) 564 8346,19
1684,45,29304063,1027700375944,1684,044525874,6/1/2010,"ЗАО АКБ ""РОСТРАБАНК""","115035, г. Москва, ул. Садовническая, д. 25, 27, стр. 1",Первый заместитель Председателя Правления,Алишейхова М.А.,Главный бухгалтер,Гараева А.Л.,начальник отдела,Минаева Е.В.,223-00-55,19
1697,45,09308633,1027739326933,1697,044585318,6/1/2010,ОКЕАН БАНК (ЗАО),"119334,  г. Москва, Канатчиковский проезд, д. 1, стр.1",И.о. Председателя Правления,С.Г.Таций,Главный бухгалтер,Е. П. Трашенкова,Начальник отдела отчетности РФ,Еремина Н. В.,981-55-11 доб. 1513,31
1705,60,09246719,1026100001850,1705,046015889,6/1/2010,Ростпромстройбанк (ОАО),"344029, г. Ростов-на-Дону, ул. Металлургическая, 102/2",Председатель Правления,Шапошникова Т.А.,Главный бухгалтер,Афанасияди Г.А.,Экономист,Свечкарев П.Ю.,268-86-00 (доп.42124),30
1717,45,17511213,1027700259058,1717,044552210,6/1/2010,Банкхаус Эрбе (ЗАО),"123056, г.Москва, ул.Зоологическая, д.26, стр.1",Председатель Правления,Бурцева О.Г.,Зам.Главного бухгалтера,Кахно А.В.,Начальник отдела отчетности,Киняпина М.Н.,254-72-00,19
1720,69,09266291,1027000002446,1720,046902728,6/1/2010,"ОАО ""Томскпромстройбанк""","634061, город Томск, проспект Фрунзе, 90",Зам.Председателя Правления,Беляева Людмила Александровна,Главный бухгалтер,Арабаджиева Нина Эдуардовна,Исполнитель,Былина Т.В.,26-62-76,19
1730,45,17399561,1027739042495,1730,044583368,6/1/2010,"ОАО ""ПРБ""","123557,  г. Москва, ул. Пресненский вал, д. 14, стр. 3",Заместитель Президента-Председателя Правления,Е.В. Ксенофонтова,Заместитель Главного бухгалтера,Т.В. Сухенко,Начальник Управления отчетности,Е.П. Давыдова,739-00-99,31
1738,53,11916110,1025600001019,1738,045330852,6/1/2010,"ОАО ""НСТ-БАНК""","462359, Оренбургская обл., г. Новотроицк, ул. Советская, 49",Председатель Правления,Шарова О.А.,Главный бухгалтер,Житкова Т.Н.,Исполнитель,Данильченко С.Г.,67-69-79,23
1776,45,09308343,1027739340584,1776,044525352,6/1/2010,"ОАО Банк ""Петрокоммерц""","127051, г. Москва, ул. Петровка, д. 24, стр. 1",Первый Вице-президент,Колобова Н.В.,Главный бухгалтер,Фунтова Е.В.,Начальник отдела балансовой отчетности,Кондратенко Е.Ю.,623-46-57,24
1781,24,10729179,1023700001467,1781,042406701,6/1/2010,"ОАО КИБ ""ЕВРОАЛЬЯНС""","153000, г.Иваново, ул.Станко, д.13",Председатель правления,Суглобова М. В.,Главный бухгалтер,Сергеева Е. С.,Исполнитель,Дригинкина И. В.,41-15-69,19
1788,57,2404639,1025900000059,1788,045773705,6/1/2010,"""ЗАО АКИБ ""Почтобанк""","614096, г. Пермь, ул. Ленина, 68",Председатель Правления,Жилин В.А.,Главный бухгалтер,Карпова В.И.,Начальник ФЭУ,Женина Р.В.,233-19-84,19
1792,36,11707493,1026300001991,1792,043602975,6/1/2010,"ООО ""Русфинанс Банк""","443013, Самарская область, г. Самара, ул. Чернореченская, дом 42а",Председатель Правления,Шадрин Д.Н.,Главный бухгалтер,Буйдинова С.В.,Начальник отдела,Бондарева Т.Ф.,2696911 (04756),19
1794,42,11200305,1024800001863,1794,044206708,6/1/2010,"ОАО ""Липецкоблбанк""","398050, г.Липецк, пл. Плеханова,1",Генеральный директор,Бобылева С.В.,Главный бухгалтер,Стеганцева В.И.,Исполнитель,Душкина  И.А.,25-71-71,19
1809,71,21768455,1028600003497,1809,047169742,6/1/2010,"ЗАО НГАБ ""Ермак""","628624, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, ул. Мира, 68",Председатель Правления,Семенова Л.Г.,Главный бухгалтер,Соломатова Л.Н.,Экономист САО,Бакланова Е.С.,(3466) 49-50-67,25
1812,45,09807810,1027739649266,1812,044579553,6/1/2010,"ЗАО АКБ ""Хлебобанк""","115093,  г. Москва, ул. Щипок, д. 18",И.О.Председателя Правления,Алешин О.Н.,И.О.Главного бухгалтера,Захаркина М.М.,Начальник ПЭУ,Трунова Т.И.,958-23-59,19
1816,14,09803373,1023100000153,1816,041403737,6/1/2010,"ОАО ""Белгородпромстройбанк""","308000, Белгородская область, г.Белгород, Народный бульвар, дом 79",Генеральный директор-председатель правления банка,Прищепа С.В.,Главный бухгалтер,Понкратова Г.Т.,Главный специалист,Сенюк Т.В.,32-15-31,22
1829,45,23832312,1025600001668,1829,044583861,6/1/2010,"ООО ""Инбанк""","107113, г. Москва, ул. Сокольнический вал, д. 1/2, стр. 1",Заместитель Председателя Правления,Ларина С.Ю.,Главный бухгалтер,Гусева М.Е.,Начальник управления сводной отчетности,Жабура Т.Е.,640-02-30,19
1835,45,17519373,1027739030110,1835,044552732,6/1/2010,"ОАО ""ЛЕСПРОМБАНК""","127051,  г. Москва, Петровский бульвар, д.19/2, стр.1",Заместитель Председателя Правления,Таекина И.А.,Главный бухгалтер,Курбанмагомедова Ф.Р.,Начальник отдела бухгалтерской отчетности,Стойлова Л.А.,(495) 6253031,19
1851,22,09116158,1025200000176,1851,042202772,6/1/2010,"ЗАО ""Нижегородпромстройбанк""","603950, г.Нижний Новгород, улица Грузинская, 21",Председатель Правления,Лебедев В.А.,Главный бухгалтер,Омельяненко Т.И.,Зам.начальника отдела,Савина Т.Н.,433-39-87,19
1869,07,10253149,1022600000059,1869,040708774,6/1/2010,"ОАО КБ ""ЕвроситиБанк""","357500, Ставропольский край, г.Пятигорск, проспект 40 лет Октября, 58а",Руководитель,Коргов А.А.,Главный бухгалтер,Бирюкова Е.Н.,Исполнитель,Монастырная Н.В.,(8793) 97-33-98,19
1885,45,09308403,1027739553764,1885,044525341,6/1/2010,"АКБ ""ФОРА-БАНК"" (ЗАО)","119021,  г. Москва, Зубовский бульвар, д.25",Зам. Председателя Правления Банка,Бадимов А.В.,Главный бухгалтер,Юскаев Р.Ш.,Начальник отдела учета и отчетности,Подшивалова И.Л.,8-499-249-62-49,31
1917,92,12965889,1021600003160,1917,049205789,6/1/2010,"ЗАО ""Булгар банк""","420107, г.Казань, ул.Луковского, д.8",Председатель Правления,Фатыхов М.Р.,Главный бухгалтер,Бахтина Л.В.,оператор,Трушев В.В.,570-59-83,29
1926,40,25102440,1020500001170,1926,044030870,6/1/2010,"ООО КБ ""НЕВАСТРОЙИНВЕСТ""","190020, г. Санкт-Петербург, Рижский проспект, дом № 48, Лит. А, Пом.2-Н",Зам.Председателя Правления,Павлов М.А.,Зам.Главного бухгалтера,Ушаков В.Н.,Исполнитель,Ушаков В.Н.,703-53-05,19
1939,45,09301200,1027739474355,1939,044599399,6/1/2010,"ООО КБ ""Ренессанс""","119330, г. Москва, Мичуринский пр-т, дом 6, корпус 3",Председатель Правления,Крылов Михаил Николаевич,Главный бухгалтер,Бурдасова Марина Алексеевна,Ведущий экономист отдела отчетности,Целовальникова Дарья Константиновна,(495) 637-30-90 доб.122,19
1942,45,09317031,1027739326010,1942,044525243,6/1/2010,"ЗАО ""ГЛОБЭКСБАНК""","121069,  г. Москва, ул.Б.Никитская, д.60, стр.1",Старший Вице-президент,С.В.Филиппов,Заместитель главного бухгалтера,Н.В.Кудряшова,Главный экономист,Н.А.Дмитриева,411-82-32,31
1949,24,20515858,1083700000471,1949,042406718,6/1/2010,ЗАО НАЦИОНАЛЬНЫЙ БАНК СБЕРЕЖЕНИЙ,"153000, г.Иваново, ул.Палехская, дом 2",Руководитель,Колотников В.М.,Главный бухгалтер,Пшеничникова Е.С.,исполнитель,Буренина Л.Г.,48-25-93,19
1950,22,10645063,1025200000055,1950,042202798,6/1/2010,"ОАО КБ ""Эллипс банк""","603000, г. Нижний Новгород, пл. Максима Горького, д.4/2",Первый Заместитель Председателя Правления,Сысорина Л.А.,Главный бухгалтер,Котлярова Г.П.,Исполнитель,Соловьев Д.Ю.,212-52-02 (126),22
1951,45,17503886,1027739051053,1951,044585392,6/1/2010,"ООО ""ТАНДЕМБАНК""","123290,  г. Москва, Шелепихинское шоссе, д.11, корп.1",Президент,Кикоть С.В.,Главный бухгалтер,Клименко К.Г.,Риск-менеджер,Ковалев Г.А.,(499)  256-08-89,19
1957,66,12351785,1026700000073,1957,046614757,6/1/2010,"ОАО ""СКА-Банк""","214000 г.Смоленск, ул.Ленина, 13-А",Первый вице-президент,В.З. Комар,Главный бухгалтер,М.М. Курышина,главный экономист,Е.В. Сякина,20-16-03,31
1967,45,20588219,1027739599535,1967,044585391,6/1/2010,"ООО КБ ""Монолит""","105005,  г. Москва, ул. Радио, д. 7, стр. 1",Председатель Правления,Икрамов А.В.,Главный бухгалтер,Касапова Е.Я.,Начальник отдела бухгалтерской  отчетности и анализа,Горелова Т.Н.,783-84-25,19
1968,45,16582292,1025400001637,1968,044585526,6/1/2010,"КБ ""Русский ипотечный банк"" (ООО)","115035, г. Москва, ул. Садовническая, д. 46, стр. 1",Заместитель Председателя Правления,Успенский А.А.,Заместитель главного бухгалтера-начальник управления бухгалтерского учета и отчетности,Ткачук Н.П.,Начальник отдела расчетов и отчетности,Блюм А.Н.,"(495) 684-11-11, доб. 2329",27
1973,92,12998664,1021600000366,1973,049205795,6/1/2010,"ООО ""АвтоКредитБанк""","420066, г.Казань, пр-т Ибрагимова, д.48",Председатель Правления,Сухих Л.А.,Главный бухгалтер,Самигуллина Р.Р.,Зам.начальника аналитического отдела,Апанасенко Л.В.,517-22-87,19
1975,84,16249960,1020400000081,1975,048405731,6/1/2010,"ООО КБ ""Алтайэнергобанк""","649000 , Республика Алтай , г.Горно-Алтайск , ул.Чорос-Гуркина, 53/1",Зам. Председателя Правления,Муканов В.И.,Главный бухгалтер,Рыбакова М.И.,нач. отдела фин. отчетности,Панькова И.А.,2-55-64,28
1978,45,09318941,1027739555282,1978,044585659,6/1/2010,"ОАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""","107045,  г. Москва, Луков переулок, д. 2, стр. 1",Председатель Правления,Николашин А.Н.,Зам. Главного бухгалтера,Толока Е.В.,Начальник отдела,Гречишкин С.А.,795-02-13,31
1982,45,17337293,1037739296825,1982,044525279,6/1/2010,"КБ ""БТФ"" ООО","117485,  г. Москва, ул. Профсоюзная, д.84/32, стр. 14",Председатель Правления,Исраэлян Л.В.,Главный бухгалтер,Овчинникова Т.Ю.,Нач.отдела сводной отчетности,Музыкант Е.В.,644-02-60,31
2015,01,20986262,1022200525819,2015,040173745,6/1/2010,"""СИБСОЦБАНК"" ООО","656038, Алтайский край, г.Барнаул, ул.К.Маркса, 1",Председатель Правления,Корчагин А.И.,Главный бухгалтер,Загороднева И.А.,Начальник отдела анализа,Тюнина М.А.,370216,19
2027,45,16937128,1021100000393,2027,044579733,6/1/2010,"КБ ""Геобанк"" (ООО)","123557, г. Москва, Большой Тишинский переулок, д. 8, стр. 1",Председатель Правления,Годов Андрей Алекcандрович,Главный бухгалтер,Петрова Ольга Михайловна,Ведущий экономист,Гуринович Анастасия Львовна,"254-8184, 221-33-41 доб.4743",19
2029,66,12356727,1026700000030,2029,046614754,6/1/2010,"ООО КБ ""Смоленский Банк""","214000, город Смоленск, ул.Тенишевой, д.6 а",Руководитель,Данилов А.А,Главный экономист,Терешкова Н.А.,Нач.отдела экономического анализа,Кривошеева О.А.,38-45-24,19
2034,45,12391945,1027739058720,2034,044583963,6/1/2010,"АКБ ""СЕРВИС-РЕЗЕРВ"" БАНК (ЗАО)","119071,  г. Москва, ул. Орджоникидзе, д. 10",Председатель Правления,Полхлебова Н.И.,Главный бухгалтер,Щукова Т.А.,Начальник отдела бух.учета и отчетности,Симакина  Н.Н.,649-34-34,31
2048,22,10658812,1025200001254,2048,042204721,6/1/2010,"ОАО ""АКБ САРОВБИЗНЕСБАНК""","607189, Нижегородская область, г.Саров, улица Силкина, 13",Президент,И.А.Алушкина,Главный бухгалтер,Т.Н.Грачева,Исполнитель,Е.А.Володина,434-48-47,31
2050,45,17501108,1027739435646,2050,044583211,6/1/2010,"ЗАО ""РСКБ""","119002,  г. Москва, Денежный переулок, д. 7, корп. 2",Председатель Правления,Павлова А.Е.,Главный бухгалтер,Кислова А.А.,Зам. главного бухгалтера,Яковлева Е.С.,(499)241-88-44,19
2055,45,09307450,1027739824881,2055,044583893,6/1/2010,"ЗАО КБ ""Квота-банк""","109004,  г. Москва, ул. Земляной вал, д. 72, стр. 2",Заместитель Председателя Правления,Кужекин О.А.,Главный бухгалтер,Виноградова Н.Н.,Начальник отдела  отчетности,Баркан Н.М.,287-45-69,19
2063,01,21417572,1022200526061,2063,040173743,6/1/2010,"ОАО КБ ""ФорБанк""","656056, Алтайский край, г.Барнаул, ул.Гоголя, д.36/ул.Горького М., д.29",Зам.Председателя Правления,Зеленин В.Б.,Главный бухгалтер,Баранов С.П.,Экономист,Лысенко Я.А.,63-84-84,19
2073,45,25095585,1020500000510,2073,044585536,6/1/2010,"ОАО БАНК ""МБФИ""","105062, г. Москва, Подсосенский  пер, д. 17",Зам. Председателя Правления,Макарова А.В.,Главный бухгалтер,Бырганова Е.Л.,Главный бухгалтер,Бырганова Е.Л.,609-63-63,19
2085,32,16374100,1024200685948,2085,043207780,6/1/2010,"ООО КБ ""Тайдон""","650070, Кемеровская область, г. Кемерово, пр. Молодежный, д. 5",Зам. генерального директора,Кузнецов В.Р.,Главный бухгалтер,Ершова В.Д.,Начальник отдела,Папушева Н.Ю.,56-72-80,19
2103,30,10874390,1024100000165,2103,043002717,6/1/2010,"""Муниципальный Камчатпрофитбанк"" (ЗАО)","683032, Камчатский край, г.Петропавловск-Камчатский, ул. Пограничная, 19",Директор,Полунин Игорь Алексеевич,Главный бухгалтер,Меньшикова Мария Владимировна,Экономист ОО,Лаврова А.С.,46-92-07,24
2108,45,17514743,1027739300050,2108,044585374,6/1/2010,"КБ ""Транснациональный банк"" (ООО)","115280,  г. Москва, ул. Восточная, д. 2, корп. 2",Вице-Президент,Сухогузова Ольга Леонидовна,Зам. главного бухгалтера,Паршина Екатерина Алексеевна,Начальник отдела отчетности,Молотова С.Н.,363-42-85,31
2119,45,17507909,1027739176080,2119,044552200,6/1/2010,"ЗАО АКБ ""Алеф-Банк""","117218, г. Москва, ул. Кржижановского, д. 21/33, корп. 1",Председатель Правления,Дорошко В.В.,Зам.главного бухгалтера,Грузова О.Б.,Зам. начальника отдела отчетности,Крайнова И.С.,411-77-47 (33-49),31
2145,46,17531316,1025000002411,2145,044599780,6/1/2010,"АКБ ""ХОВАНСКИЙ"" (ЗАО)","141200, Московская область, г. Пушкино, Писаревский проезд, д 7",Первый заместитель Председателя Правления,Ческидова Елена Адольфовна,Главный бухгалтер,Курганова Ольга Сергеевна,Начальник Управления сводной отчетности,Варнакина Ольга Владиславовна,602-97-30,18
2152,40,23530918,1027800000403,2152,044030724,6/1/2010,"ОАО ""СЕВЗАПИНВЕСТПРОМБАНК""","191040, г. Санкт-Петербург, ул. Марата, 36-38, литер А",Вице-президент,Дружинин С.Н.,Главный бухгалтер,Ингинен Л.Е.,Исполнитель,Руденко С.Г.,622-11-60,19
2156,45,17507529,1027739345281,2156,044585272,6/1/2010,"ЗАО ""Нефтепромбанк""","123001,  г. Москва, Вспольный пер., д.19/20, стр.1",Президент,Губенко И.В.,Главный бухгалтер,Боровский Ю.А.,зам.главного бухгалтера - начальник отдела сводной отчетности,Стенина И.В.,234-22-30,19
2157,45,17508352,1027739174759,2157,044552695,6/1/2010,"АКБ ""ФИНПРОМБАНК"" (ОАО)","107045,  г. Москва, Последний переулок, д.24",Заместитель Председателя Правления,Спиридонов С.Г.,Заместитель главного бухгалтера,Кузьмина И.В.,Начальник отдела сводной отчетности,Масеенкова Н.Н.,730-03-33,19
2158,45,17530400,1037700126089,2158,044583260,6/1/2010,"АКБ ""БАСМАННЫЙ"" (ЗАО)","105066,  г. Москва, ул.Нижняя Красносельская, д.35, стр. 50",Председатель Правления,Островская О.М.,Главный бухгалтер,Гусева Т.В.,Нач.отдела,Митлина Е.В.,8-499-2654608,19
2167,45,21783124,1022300000051,2167,044552534,6/1/2010,"ОАО АПБ ""Екатерининский""","125009, г. Москва, Леонтьевский пер., д. 25",Председатель Правления,Будишевский Э.В.,Главный бухгалтер,Куприкова Т.В.,Заместитель главного бухгалтера,Лисина И.С.,(495)629-44-73,19
2170,45,29296062,1027700458224,2170,044525933,6/1/2010,"АКБ ""НРБанк"" (ОАО)","117036, г. Москва, просп. 60-летия Октября, 10 А",Заместитель Председателя Правления,Захаров Ю.А.,Заместитель Главного бухгалтера,Макеева И.В.,Ведущий экономист,Гасенко Диана Станиславовна,213-32-00(2287),19
2179,45,29310827,1037711013295,2179,044585297,6/1/2010,"ЗАО ""КБ ОТКРЫТИЕ""","119021, г. Москва, ул. Тимура Фрунзе, д. 11, стр. 13",Первый Заместитель Председателя Правления,Коняев А.В.,Главный бухгалтер,Конкина Т.А.,Главный специалист отдела отчетности по российским стандартам,Попова Н.В.,755-8866 (1146),31
2188,47,22609888,1045100231494,2188,044705736,6/1/2010,"ЗАО ""БАРЕНЦБАНК""","183010, г. Мурманск, ул. Марата, д. 26",заместитель Председателя Правления,Черныш С.И.,Главный бухгалтер,Чернышова Н.В.,Ведущий специалист,Белова Е.А.,554-566,31
2192,45,17528047,1037739599402,2192,044583337,6/1/2010,"КБ ""Рублевский"" ООО","119991,  г. Москва, ул. Льва Толстого, д.5/1, стр.1",Председатель Правления,Талышев А.Н.,Главный бухгалтер,Божкова Е.Л.,Зам.гл.бухгалтера-нач.оперу,Каненкова Н.Ю.,580-71-20,19
2207,92,13000065,1021600000421,2207,049205858,6/1/2010,"АКБ ""Спурт"" (ОАО)","420107, г.Казань, ул.Спартаковская, дом 2",Председатель Правления,Даутова Е.В.,Главный бухгалтер,Ананьева И.В.,Экономист,Урманов Т.Ф.,291-50-38,19
2209,45,17526887,1027739019208,2209,044525985,6/1/2010,"""НОМОС-БАНК"" (ОАО)","109240, г. Москва, ул. Верхняя Радищевская, д.3, стр.1",Старший Вице-Президент,В.И.Тютин,Зам. Главного Бухгалтера,Л.В.Глухова,Начальник управления,Е.П.Степанова,737-73-62 (47-32),31
2211,45,24153783,1027739136622,2211,044579741,6/1/2010,"КБ ""РЭБ"" (ЗАО)","109240, г. Москва, ул. Гончарная, д. 11, стр. 1",Заместитель Председателя Правления,Павлик М.В.,Главный  бухгалтер,Волкова А.Г.,Ведущий специалист,Ярошенко Г.А.,918-16-46 доб.243,29
2216,45,17512023,1027739177377,2216,044525922,6/1/2010,"ЗАО ""Банк Интеза""","101000,  г. Москва, Петроверигский пер., д. 2",Начальник Управления отчетности по РСБУ,Манаенкова Н.Е.,Заместитель главного бухгалтера,Садовская М.В.,Начальник отдела отчетности по РСБУ,Фролова С.Н.,967-3060(2475),25
2241,45,22316525,1027739328440,2241,044585416,6/1/2010,"АКБ ""1-й Процессинговый"" (ЗАО)","107031, г. Москва, Петровский переулок, д. 10, стр. 2",Председатель Правления,Ищенко П.А.,Заместитель главного бухгалтера,Павлова М.А.,Заместитель главного бухгалтера,Павлова М.А.,231-36-45,31
2244,52,23807805,1025500000635,2244,045279786,6/1/2010,"ЗАО КБ ""Мираф-Банк""","644043, город Омск, улица Фрунзе, дом 54",И. о. председателя Правления,Пикуль Лариса Олеговна,И. о. главного бухгалтера,Шашкина Тамара Олеговна,Экономист ООиБР,Капалина Марина Александровна,94-80-37,19
2245,45,17520519,1027739019373,2245,044583469,6/1/2010,"ОАО КБ ""КОСМОС""","123317,  г. Москва, Красногвардейский бульвар, д.7, стр.1",Председатель Правления,Блинова Н.М.,Главный бухгалтер,Соловьева Л.С.,Главный бухгалтер,Соловьева Л.С.,258-89-84,19
2248,45,32981436,1037700221635,2248,044552731,6/1/2010,"КБ ""ЭНЕРГОПРОМБАНК"" (ООО)","129090, г. Москва, Грохольский пер., д. 30 корп. 1",И.О. Председателя Правления,Божко Галина Александровна,Главный бухгалтер,Телегина Татьяна Анатольевна,Начальник отдела отчетности,Зубенко В.В.,974-78-41,31
2252,45,09316868,1027739463300,2252,044583131,6/1/2010,"АКБ ""ТЕНДЕР-БАНК"" (ЗАО)","125047,  г. Москва, ул. Гашека, д.2, стр.1",Председатель Правления,Майорова  С.А.,Главный бухгалтер,Кульбачная Т. М.,Гл специалист отдела учета и отчетности,Шувалов А.А.,(499) 255-58-87 д.143,19
2253,45,17519611,1027739043628,2253,044583888,6/1/2010,"КБ ""ВЕТБ"" ЗАО","127287, г. Москва, ул. 2-ая Хуторская, д. 38 А, строение 25",Первый Зам. Председателя Правления,Решетникова Наталья Шамильевна,Зам. Главного бухгалтера,Вавилкина Татьяна Петровна,Начальник управления отчетности и МСФО,Ласточкина Лидия Витальевна,646-27-97,19
2254,45,17515168,1077711000014,2254,044552625,6/1/2010,"Банк ""Кузнецкий мост"" ОАО","115054,  г. Москва, ул. Малая Пионерская, д. 37, стр.1",Заместитель Председателя Правления,Королева Галина Михайловна,Главный бухгалтер,Явтушенко Светлана Ивановна,Начальник отдела отчетности,Плешакова Юлия Владимировна,510-63-90,22
2258,45,17515524,1027739075407,2258,044585500,6/1/2010,"АКБ ""Мострансбанк"" ОАО","111033, г. Москва, ул. Волочаевская, д. 9, стр. 9",Зам. Председателя Правления,Молодцова Т.Э.,Главный бухгалтер,Рушалкина И.А.,Начальник отдела,Белоконова Е.А.,149,19
2264,14,22309962,1023100000406,2264,041403747,6/1/2010,"ОАО ""Северинвестбанк""","308004, Белгородская область, г. Белгород, ул. Щорса, дом 51",Председатель Правления,А.А. Цурупа,Главный бухгалтер,Н.А. Кульбида,Нач.Кредитного отдела,Петренкова М.В.,58-28-49,19
2268,45,17516067,1027739053704,2268,044525232,6/1/2010,"АКБ ""МБРР"" (ОАО)","119034,  г. Москва, Еропкинский пер., д.5, стр.1",Первый Заместитель Председателя Правления,Маслов О.Е.,Заместитель главного бухгалтера,Штек М.В.,Начальник отдела,Берсенева Н.В.,637-14-83,31
2269,45,17529377,1027739047181,2269,044525424,6/1/2010,"КБ ""Альта-Банк"" (ЗАО)","125047, г. Москва, ул. 2-ая Брестская, д. 30",Первый заместитель Председателя Правления,Романова Елена Викторовна,Главный бухгалтер,Волкова Людмила Николаевна,Заместитель главного бухгалтера,Токарева Лариса Александровна,225-27-77 доб.1215,19
2270,45,17531233,1027739495420,2270,044585293,6/1/2010,"ЗАО ""АМИ-БАНК""","109240, г. Москва, ул. Николоямская, д. 7/8",Заместитель Председателя Правления банка,Аблогин А.Л.,Главный бухгалтер,Бухтеева О.В.,Главный специалист,Воронова М.В.,213-34-76,31
