REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_5
324,45,09804102,1037739057070,324,044525057,2/1/2011,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""","125252,  г. Москва, ул. Сальвадора Альенде, д. 7",Председатель Правления,Лысенко П.И.,Главный  бухгалтер-Директор Финансового Департамента-Член Правления,Парамонов Ю.Н.,Начальник отдела,Грачева Л.А.,785-06-26,15
328,40,09804148,1027800000084,328,044030861,2/1/2011,"ОАО ""АБ ""РОССИЯ""","191124, Санкт-Петербург, пл. Растрелли, 2, литер А",Председатель Правления,Лебедев Д.А.,Главный бухгалтер,Кабалина Ф.Х.,Заместитель начальника отдела,Комарова Елена Олеговна,335-82-53,31
330,63,09809080,1026400002089,330,046311755,2/1/2011,"ООО Банк ""Саратов""","410071, г.Саратов, ул.Шелковичная, 177",Председатель Правления,Мумлева Ирина Юрьевна,Главный бухгалтер,Масликова Елена Ивановна,Ведуший экономист,Скрипкина Н.А.,560-036,16
347,82,09804326,1020500002357,347,048209711,2/1/2011,"ООО ""НОВЫЙ КОММЕРЧЕСКИЙ БАНК""","367027, Республика Дагестан, г. Махачкала, ул. Казбекова, 161а.",Зам. Председателя Правления,Меджидова А.М.,Главный бухгалтер,Абдурахманова Л.В.,экономист,Адилов Г.М.,644924,15
356,40,09804384,1027800000183,356,044030758,2/1/2011,"ОАО ""Витабанк""","195220, Санкт-Петербург, пр. Непокоренных,17, корп 4, литер В",И.о. Председателя Правления,Бахов Александр Евгеньевич,Главный Бухгалтер,Боброва Ирина Леонидовна,Ведущий консультант,Дательбаум Александр Александрович,535-81-55,15
370,45,09801960,1027700412893,370,044583209,2/1/2011,"Банк ""Новый Символ"" (ЗАО)","123007,  г. Москва, 2-й Силикатный проезд, д.8",Первый зам. Председателя Правления,Зиновьев С.В.,Заместитель главного бухгалтера,Соколова Ю.В.,Специалист отдела отчетности,Сухова Е.В.,(499) 946-54-02,15
384,46,09804616,1025000006350,384-К,044552691,2/1/2011,"НКО ""СПРП"" (ООО)","141300, Московская область,г. Сергиев Посад, ул.Бероунская, д.1",Председатель Правления,Разживин Дмитрий Владимирович,Главный бухгалтер,Далакян Альберт Арташесович,Зам. начальника отдела сводной отчетности,Сорокина Светлана Николаевна,721-26-10 (доб. 107),28
385,71,09804622,1027200000321,385,047102861,2/1/2011,"ОАО ""СИБНЕФТЕБАНК""","625000, Тюменская область, г. Тюмень, ул. Первомайская, д. 39.","Президент ОАО ""СИБНЕФТЕБАНК""",А.Э. Халитов,Главный бухгалтер,И.А. Ковень,Исполнитель,И.А. Кучина,8(3452)799-206,15
391,46,16967282,1025000003071,391,044552362,2/1/2011,"ОАО ""АБ ""ПУШКИНО""","141200, Московская область, г. Пушкино, микрорайон Дзержинец, д. 1",Председатель Правления,Слыщенко О.В.,Главный бухгалтер,Урбонавичюс А.Р.,Зам. нач. отдела отчетности,Михальченкова О.В.,993-46-70,30
410,50,09224971,1025400003420,410,045004897,2/1/2011,"ОАО ""НОМОС-БАНК-Сибирь""","630102, г. Новосибирск, ул.Кирова, 44",Президент,Демчук И.Н.,Главный бухгалтер,Дударева М.М.,Ведущий специалист,Камнева И.Ю.,210-11-86,19
429,65,09809128,1026600000350,429,046577795,2/1/2011,"ОАО ""УБРиР""","620014, г.Екатеринбург, ул. Сакко и Ванцетти, д.67",Вице-президент,Крохин А.Г.,Главный бухгалтер,Сиразов М.Р.,Ведущий экономист,Мартьянова Ю.В.,228-19-78,31
430,03,09804964,1022300000447,430,040349772,2/1/2011,"ОАО АБ ""КУБАНЬБАНК""","350080, г. Краснодар, ул. Уральская, 97",Президент,Р.В.Дусенко,Зам.главного бухгалтера,Е.А.Михеева,главный специалист,Гондарь Л.В.,267-30-68 доб. 5231,15
435,45,09801026,1037700041323,435,044525186,2/1/2011,Банк СКТ (ОАО),"105064, г. Москва, ул. Земляной вал, д. 9",Начальник Отдела налогового учета Управления бух.учета и отчетности,А.С. Ефимов,Главный бухгалтер,Г.В. Баркова,Начальник отдела отчетности Управления бух.учета и отчетности,М.И. Соколова,721-90-42 доб. 39-10,15
436,40,09804728,1027800000140,436,044030790,2/1/2011,"ОАО ""Банк ""Санкт-Петербург""","191167, Санкт-Петербург, Невский пр., 178, литера А",Первый Заместитель Председателя Правления,Иванникова Е.В.,И.о. Главного бухгалтера,Томилина Н.Г.,Главный специалист,Пикуля Е.В.,329-50-00 (57-22),15
438,92,09265964,1021600000840,438,049240785,2/1/2011,"ООО ""Камкомбанк""","423807, Республика Татарстан, г.Набережные Челны, ул. Гидростроителей, д.21",Председатель Правления,Габдуллина Р.М.,Главный бухгалтер,Тонгузова Н.Б.,Руководитель группы по риск-менеджменту,Фазлыева Э.Р.,(8552) 700-194,15
444,63,09801109,1026400002265,444,046359728,2/1/2011,"ОАО ""БАЛАКОВО-БАНК""","413840, Саратовская область, г.Балаково, ул.Факел Социализма, 21",Председатель правления,Рожкова Нина Егоровна,Главный бухгалтер,Толочкова Елена Николаевна,Начальник ОЦБиО,Курчатова Ольга Николаевна,44-11-89,19
456,03,09141191,1022300002670,456,040349569,2/1/2011,"АКБ ""Крыловский"" (ОАО)","350059, г. Краснодар, Центральный округ, ул. 9-го Мая, дом № 46а",Зам. Генерального директора,Олифирова Н.С.,Зам. главного бухгалтера,Слухаенко Т.Н.,Бухгалтер,Сорочинская А.Б.,254-24-05,26
459,56,09237695,1025800001050,459,045655724,2/1/2011,"ОАО ""Губернский банк ""Тарханы""","440052,г.Пенза,ул.Куйбышева, д.14",Руководитель,Березин Д.В.,Главный бухгалтер,Кубышная Н.А.,Главный специалист,Земцов Т.В.,209-370,22
466,60,09801316,1026100002180,466,046032846,2/1/2011,"ОАО КБ ""Максимум""","347382, Ростовская область, г. Волгодонск, ул. Черникова, 3",Председатель Правления,Свиткин М.П.,Главный бухгалтер,Ревенко А.В.,исполнитель,Лебедева С.М.,(8639)26-36-00,15
467,03,09801322,1022300001272,467,040349808,2/1/2011,"ООО КБ ""Новопокровский""","350020, г. Краснодар, Центральный округ, ул. Красная, 184/1",Заместитель председателя правления,Пархоменко Ю.Е.,Заместитель главного бухгалтера,Павлоградская Д.С.,Нач. управления бухгалтерской отчетности,Залетаева Е.Г.,259-90-10(207),15
469,60,09801345,1026100008384,469,046027835,2/1/2011,"ООО ""Русский Национальный Банк""","344082, г. Ростов-на-Дону, ул. Шаумяна, 38/39",Председатель Правления,Насибуллин С.В.,Главный бухгалтер,Богданова Н.В.,Начальник финансового управления,Насибуллина А.Л.,2-999-419,19
474,04,09144918,1022400007508,474,040407795,2/1/2011,"АКБ ""ЕНИСЕЙ"" (ОАО)","660075, г. Красноярск, ул. Республики, дом 51",И.о. Председателя Правления,Е.Н. Нагерняк,Главный бухгалтер,Е.Н. Барская,Исполнитель,О.А. Мухамадуллина,229-05-98,18
478,03,20702891,1022300000502,478,040349718,2/1/2011,"ЗАО ""Кубаньторгбанк""","350063, г. Краснодар, ул. Мира, 35",и.о. Председателя Правления,Локотченко Е.А.,Главный бухгалтер,Веретенникова С.И.,начальник отдела кредитования и экономического анализа,Гордиевская И.М.,268-49-32,15
480,92,09265013,1021600000256,480,049205703,2/1/2011,"ЗАО ""ТАТСОЦБАНК""","420111, г.Казань, ул.Чернышевского, 18/23",Председатель Правления,Колесова Анастасия Николаевна,Главный бухгалтер,Белянина Наталья Петровна,Экономист,Гизатова Люция Ильдаровна,2927090,15
481,60,09141200,1022300003021,481,046027283,2/1/2011,"ООО КБ ""РостФинанс""","344006, г. Ростов-на-Дону, ул. Суворова, 59",Руководитель,Хнкоян Л.В.,Главный бухгалтер,Богун Н.А.,Начальник кредитного отдела,Чубарян Т.А.,(863)250-12-64,15
485,75,09801500,1027400000110,485,047501711,2/1/2011,"ОАО ""ЧЕЛИНДБАНК""","454091, г.Челябинск, ул.К.Маркса, 80",Заместитель Генерального директора,Т.П. Косовская,Главный бухгалтер,В.В. Клепикова,Вед. экономист,Овчаренко И.Э.,239-83-40,26
492,60,09246045,1026100001817,492,046015804,2/1/2011,"ОАО ""Донкомбанк""","344068, г. Ростов-на-Дону, пр. Михаила Нагибина, 32/2",Председатель правления,Л.Г. Мартиди,Главный бухгалтер,Л.В. Коробейникова,Исполнитель,Л.Г. Куделькина,272-54-04,26
493,75,09801575,1027400001650,493,047501779,2/1/2011,"ОАО ""ЧЕЛЯБИНВЕСТБАНК""","454113, г.Челябинск, пл.Революции, 8","Председатель Правления ОАО ""ЧЕЛЯБИНВЕСТБАНК""",БУРЦЕВ  С.М.,Главный бухгалтер,РАЧИЛОВ  Е.Е.,Ведущий экономист отдела по управлению рисками и ликвидностью,Ашихмин Алексей Игоревич,733-02-08,31
