REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
545,30,09275313,1024100000077,545,043002711,10/1/2012,"ОАО ""Камчаткомагропромбанк""","683024, Камчатский край, г.Петропавловск-Камчатский, пр-т 50 Лет Октября, д.5",21
546,45,09320315,1027744005618,546,044552734,10/1/2012,"ОАО ""Принтбанк""","127474,  г.Москва, Дмитровское шоссе, д. 60",25
548,45,09309383,1028900000051,548,044579645,10/1/2012,"ЗАО ""СтарБанк""","127055, г. Москва, улица Бутырский вал, д. 68/70, стр. 1",20
554,36,21291250,1026300001848,554,043601706,10/1/2012,"ОАО КБ ""Солидарность""","443099, г.Самара, ул.Куйбышева,90",25
558,40,09801871,1027800000040,558,044030772,10/1/2012,"ЗАО Банк ""Советский""","197372, г. Санкт-Петербург, Богатырский пр., д. 35, корп. 1, лит. А",30
567,50,09309443,1025400000427,567,045004815,10/1/2012,"ОАО КБ ""Акцепт""","630099, г. Новосибирск, ул.Советская, 14",20
568,45,09309454,1027400000154,568,044552311,10/1/2012,"ЗАО КБ ""Златкомбанк""","119071, г. Москва, пр. Донской 2-й, д. 10, стр. 2",30
570,82,09309472,1020500000069,570,048209729,10/1/2012,"ОАО ""АНДЖИБАНК""","367026, Республика Дагестан, г. Махачкала, пр. И.Шамиля, 10",19
574,60,09309519,1026100001982,574,046027267,10/1/2012,"ООО ""ЗЕМКОМБАНК""","344010, г. Ростов-на-Дону, ул. Малюгиной, 233",25
575,45,09309526,1028600002199,575,044525738,10/1/2012,"ЗАО АБ ""Капитал""","119334, г. Москва, 5-й Донской проезд, д. 21Б, стр. 10",25
588,71,09309638,1028600001792,588,047144709,10/1/2012,"ЗАО ""СНГБ""","628400, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Кукуевицкого, 19",30
594,58,09243017,1026000001862,594,045805703,10/1/2012,"ОАО КБ ""Псковбанк""","180016, г. Псков, Рижский проспект 40-б",20
596,08,09271290,1022700002654,596,040813700,10/1/2012,"КБ ""Уссури"" ОАО","680006, Хабаровский край, г.Хабаровск, ул.Краснореченская, 109",29
598,58,09243276,1026000001774,598,045853729,10/1/2012,"ОАО КБ ""Великие Луки банк""","182100, Псковская область, г. Великие Луки, ул. Комсомольская, д. 27-а",20
600,45,29323770,1027739065375,600,044525402,10/1/2012,"АБ ""ИНТЕРПРОГРЕССБАНК"" (ЗАО)","115201,  г. Москва, Старокаширское шоссе, дом 2, корпус 1, строение 1",30
604,45,09301022,1027739222246,604,044525408,10/1/2012,"АКБ ""ПЕРВЫЙ ИНВЕСТИЦИОННЫЙ"" (ЗАО)","127247,  г. Москва, Бескудниковский бульвар, д.36, корпус 1",30
606,45,09309802,1027739325624,606,044525429,10/1/2012,"ЗАО КБ ""Гагаринский""","119361,  г. Москва, 2-ой Очаковский пер., д.7",25
608,45,09309822,1027739326207,608,044525401,10/1/2012,"АБ ""АСПЕКТ"" (ЗАО)","129327,  г. Москва, Анадырский проезд, д.21",21
609,56,09309839,1125800000094,609,045655707,10/1/2012,"ОАО Банк ""Кузнецкий""","440000, г. Пенза, ул. Красная, 104",30
622,45,09309957,1027700057440,622,044552238,10/1/2012,"ООО КБ ""АСБ""","117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1",20
625,45,09309977,1062300007901,625,044552436,10/1/2012,Банк - Т (ОАО),"123610, г. Москва, Краснопресненская наб., д. 12",30
635,45,09307757,1027300001630,635,044552638,10/1/2012,"""НоваховКапиталБанк"" (ЗАО)","105066, г. Москва, ул. Спартаковская, д. 2, корп. 6",20
637,45,09307770,1027739108979,637,044585445,10/1/2012,"КБ ""ИНВЕСТИЦИОННЫЙ СОЮЗ"" (ООО)","115230, г. Москва, Хлебозаводский проезд, д. 7, стр. 9",25
639,82,09307792,1020500000498,639,048209778,10/1/2012,"ООО КБ ""Каспий""","367027, Республика Дагестан, г.Махачкала, пр.Акушинского, д.34 ""Д""",19
646,94,09269011,1021800000090,646,049401871,10/1/2012,"АКБ ""Ижкомбанк"" (ОАО)","426076, Удмуртская Республика, г.Ижевск, ул. Ленина, 30",30
650,15,09106059,1023200000010,650,041501706,10/1/2012,"КАБ ""Бежица-банк"" ОАО","241035, Брянская область, г. Брянск, ул. Брянской Пролетарской дивизии, 1-А",30
653,73,09307912,1027300000232,653,047308811,10/1/2012,"ОАО ГБ ""Симбирск""","432017, г. Ульяновск, ул.Карла Маркса, дом 5",30
654,20,09111037,1023600002084,654,042007707,10/1/2012,"ОАО банк ""Воронеж""","394006, г. Воронеж, ул. Челюскинцев, 149",20
655,75,09307935,1027400009790,655,047501782,10/1/2012,Таурус Банк (ЗАО),"454080, г.Челябинск, пр. Ленина, 89",23
665,79,09143037,1020100002955,665,047908750,10/1/2012,"ООО КБ ""ГТ банк""","385006, Республика Адыгея, г.Майкоп, пер. Вокзальный, дом 1",20
671,45,09309064,1026400002310,671,044552655,10/1/2012,"ООО ""БАНК ФИНИНВЕСТ""","107140, г. Москва, ул. Краснопрудная, д. 3-5, стр. 1",30
680,34,09139320,1024400002978,680,043469714,10/1/2012,"ООО КБ ""Аксонбанк""","156961, г. Кострома, пр-т Мира, 55",25
684,71,09309182,1028600003410,684,047144860,10/1/2012,"ООО КБ ""Сургутский Центральный""","628408, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Энгельса, 12",20
685,45,09243164,1026000001983,685,044583412,10/1/2012,"ОАО КБ ""РусьРегионБанк""","119049, г. Москва, Калужская площадь., д. 1, корп. 1",25
695,83,09128018,1020700000496,695,048327741,10/1/2012,"Банк ""Нальчик"" ООО","360051, Кабардино-Балкарская республика, г.Нальчик, ул. Толстого,77",20
696,53,09284341,1025600000865,696,045339827,10/1/2012,"ОАО АКБ ""Акцент""","462431, Оренбургская обл., г. Орск, просп. Ленина, 75а",20
702,53,09284542,1025600001679,702,045354814,10/1/2012,"ОАО ""НИКО-БАНК""","460000, Оренбургская область, г. Оренбург, пер. Алексеевский, 5",25
704,53,09284565,1025600001217,704,045354886,10/1/2012,"ОИКБ ""Русь"" (ООО)","460000, Оренбургская область, г. Оренбург, пер.Шевченко, 7",25
705,65,09320752,1026600000460,705,046577756,10/1/2012,"ОАО ""СКБ-банк""","620219, г.Екатеринбург,ул. Куйбышева, 75",29
708,92,40654987,1021600000014,708,049205844,10/1/2012,"ООО КБЭР ""Банк Казани""","420066, г.Казань, ул.Солдатская, д.1",20
709,71,09320798,1028900000073,709,047169702,10/1/2012,"ОАО Банк ""Пурпе""","628606, Тюменская обл., Ханты-Мансийский автономный округ-Югра, г. Нижневартовск, мкр. 9, ул. Мусы Джалиля, дом 9.",20
715,82,40760933,1020500001928,715,048230716,10/1/2012,"КБ ""НАФТАБАНК"" ООО","368788, Республика Дагестан, Магарамкентский р-он, село Магарамкент, ул. Гагарина, 4",19
720,41,25855470,1024700000071,720,044109722,10/1/2012,"ОАО ""Выборг-банк""","188800 Ленинградская область, город Выборг, улица Пионерская, дом 2",30
728,92,09265198,1021600002500,728,049205708,10/1/2012,"ООО ""ТАТАГРОПРОМБАНК""","420097, Республика Татарстан, г.Казань, ул.Зинина, д.4",25
732,22,09116810,1025200000352,732,042282751,10/1/2012,"ОАО КБ ""Ассоциация""","603000, г.Нижний Новгород, ул.М.Горького, 61",20
735,38,09155046,1024600001458,735,043807708,10/1/2012,"ОАО ""Курскпромбанк""","305000, г.Курск, ул.Ленина, 13",25
