REGN,C1_5
1222,3/8/2011
1222,3/13/2011
1222,3/20/2011
1222,3/27/2011
1239,3/6/2011
1239,3/7/2011
1239,3/8/2011
1239,3/12/2011
1239,3/13/2011
1239,3/19/2011
1239,3/20/2011
1239,3/26/2011
1239,3/27/2011
1242,3/6/2011
1242,3/7/2011
1242,3/8/2011
1242,3/13/2011
1242,3/20/2011
1242,3/27/2011
1244,3/6/2011
1244,3/7/2011
1244,3/8/2011
1244,3/12/2011
1244,3/13/2011
1244,3/19/2011
1244,3/20/2011
1244,3/26/2011
1244,3/27/2011
1249,3/8/2011
1250,3/6/2011
1250,3/7/2011
1250,3/8/2011
1250,3/12/2011
1250,3/13/2011
1250,3/19/2011
1250,3/20/2011
1250,3/26/2011
1250,3/27/2011
1277,3/6/2011
1277,3/7/2011
1277,3/8/2011
1277,3/12/2011
1277,3/13/2011
1277,3/19/2011
1277,3/20/2011
1277,3/26/2011
1277,3/27/2011
1280,3/6/2011
1280,3/7/2011
1280,3/8/2011
1280,3/13/2011
1280,3/20/2011
1280,3/27/2011
1281,3/6/2011
1281,3/7/2011
1281,3/8/2011
1281,3/12/2011
1281,3/13/2011
1281,3/19/2011
1281,3/20/2011
1281,3/26/2011
1281,3/27/2011
1282,3/8/2011
1284,3/7/2011
1284,3/8/2011
1284,3/13/2011
1284,3/20/2011
1284,3/27/2011
1291,3/6/2011
1291,3/7/2011
1291,3/8/2011
1291,3/12/2011
1291,3/13/2011
1291,3/19/2011
1291,3/20/2011
1291,3/26/2011
1291,3/27/2011
1293,3/8/2011
1293,3/13/2011
1293,3/20/2011
1293,3/27/2011
1300,3/6/2011
1300,3/8/2011
1300,3/13/2011
1300,3/20/2011
1300,3/27/2011
1309,3/6/2011
1309,3/7/2011
1309,3/8/2011
1309,3/12/2011
1309,3/13/2011
1309,3/19/2011
1309,3/20/2011
1309,3/26/2011
1309,3/27/2011
1312,3/6/2011
1312,3/7/2011
1312,3/8/2011
1312,3/13/2011
1312,3/20/2011
1312,3/27/2011
1319,3/6/2011
1319,3/7/2011
1319,3/8/2011
1319,3/12/2011
1319,3/13/2011
1319,3/19/2011
1319,3/20/2011
1319,3/26/2011
1319,3/27/2011
1329,3/6/2011
1329,3/7/2011
1329,3/8/2011
1329,3/13/2011
1329,3/20/2011
1329,3/27/2011
1342,3/6/2011
1342,3/7/2011
1342,3/8/2011
1342,3/13/2011
1342,3/20/2011
1342,3/27/2011
1352,3/6/2011
1352,3/7/2011
1352,3/8/2011
1352,3/13/2011
1352,3/20/2011
1352,3/27/2011
