"ОАО АКБ "Балтика";967
"КБ "Канский" ООО";860
"ООО КБ "ГРиС-Банк";1928
"ОАО КБ "ВАКОБАНК";1291
"ПАО "МОСКОМБАНК";3172
ЗАО РОСЭКСИМБАНК;2790
"АКБ "Кросна-Банк" (ОАО)";2607
"ООО "Трастовый Республиканский Банк";3404
"Соверен Банк" (ЗАО)";3206
"ОАО "ПотенциалБанк";1019
"ООО КБ "Европейский Экспресс";3449
"ОАО "Вкладбанк";1868
"АО "НСТ-БАНК";1738
Банк НФК (ЗАО);3437
"АКБ "Алмазэргиэнбанк" АО";2602
"АО КБ "РУБанк";2813
"ОАО КБ "Михайловский ПЖСБ";2961
"Коммерческий банк Индии" ООО";3446
"ОАО АКБ "Перминвестбанк";784
"ООО "БАНК ФИНИНВЕСТ";671
"ИНГ БАНК (ЕВРАЗИЯ) ЗАО";2495
"ООО "ОНЕЙ БАНК";3516
"КБ "Еврорасчет" (ООО)";3498
"ИКБР "ЯРИНТЕРБАНК" (ООО)";2564
"ОАО "Губернский банк "Тарханы";459
"ООО КБ "АСБ";622
"ПАО БАНК "ЮГРА";880
"АКБ "Традо-Банк" (ЗАО)";1065
"ООО КБ "Кредэкс";3186
"ОАО "ГАНЗАКОМБАНК";1734
"КБ "Спутник" (ПАО)";1071
ЗАО ПРЦ;3306
"Банк Ренессанс Финанс" ООО";3471
"АО КБ "КОСМОС";2245
"МТИ-Банк" (АО)";1052
"АО "СМАРТБАНК";3408
"АО КБ "Синергия";2884
"КБ "Гарант-Инвест" (АО)";2576
"ОАО "НАШ БАНК";1340
"ОАО "ИнтехБанк";2705
"НКО РКЦ "БИТ" (АО)";3318
"ООО "ПромТрансБанк";2638
"НоваховКапиталБанк" (ЗАО)";635
"АО "ГУТА-БАНК";256
"ПАО "О.К. Банк";1118
"ОАО АКБ "ЭКСПРЕСС";3084
Креди Агриколь КИБ ЗАО;1680
"ПАО "НБД-Банк";1966
"КБ "Альтернатива" (ООО)";3452
"ОАО "Плюс Банк";1189
"ООО КБ "Столичный Кредит";2853
"ОАО "УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК";2523
"ООО "ЮРБ";3015
"ООО КБ "РЭБ";3231
"ПАО "Лето Банк";650
"Коммерческий Банк "Аскания Траст" (ООО)";286
"ОАО "НБД-Банк";1966
"ОАО БАНК "ТУЛЬСКИЙ ПРОМЫШЛЕННИК";2382
"ЗАО АКБ "Банкирский Дом";2928
"ОАО КБ "Хлынов";254
"ЗАО КБ "РУБЛЕВ";3098
"ОАО ККБ "КРЕДИТБАНК";1035
"ОАО КБ "САММИТ БАНК";85
"АО "РОСТ БАНК";2888
"КБ "НАЦПРОМБАНК" (ЗАО)";2360
"ОАО КБ "ЯРОСЛАВИЧ";1093
"АО "ФОРУС Банк";3457
"ЗАО "ФИА-БАНК";2542
"АО "Си Ди Би БАНК";3339
"ПАО КБ "РусЮгбанк";2093
БАНК ИТБ (ОАО);3128
"АКБ "Алмазэргиэнбанк" ОАО";2602
"ОАО "Углеметбанк";2997
"Банк "ИТУРУП" (ООО)";2390
"КБ "МБК" ООО";3471
"ООО "Америкэн Экспресс Банк";3460
"МБО "ОРГБАНК" (ООО)";3312
"СИБСОЦБАНК" ООО";2015
"ЗАО "Нижегородпромстройбанк";1851
"ООО "ЛЕНОБЛБАНК";1003
"ЗАО АБ "Капитал";575
ЗАО РП СВМБ;3324
"Натиксис Банк (АО)";3390
"ОАО КБ "Псковбанк";594
"АКБ "Энергобанк" (ПАО)";67
"ЗАО "РН Банк";170
"ОАО "СКА-Банк";1957
"ЗАО "Ури Банк";3479
"АО "СМБ-Банк";3504
"ОАО НКО "Тувакредит";1202
"ООО НКО "Дельта Кей";3513
ООО ПИР Банк;2655
Джей энд Ти Банк (АО);3061
"ЗАО "ВОКБАНК";312
"АО "МЕТРОБАНК";2548
"КБ "Рента-Банк" ОАО";3095
"ОАО АКБ "Лесбанк";1598
"ОАО АБ Народный банк РТ";1309
ЗАО НАЦИОНАЛЬНЫЙ БАНК СБЕРЕЖЕНИЙ;1949
"АО "Нордеа Банк";3016
"ООО КБ "Велга";1244
"ОАО "ЮНИКОРБАНК";2586
"ООО КБ "МНИБ";3181
"ПАО "Таганрогбанк";3136
"АКИБ "ОБРАЗОВАНИЕ" (АО)";1521
"ООО "ХКФ Банк";316
"ООО НКО "Единая касса";3512
"ООО Банк "Аверс";415
ПАО Сбербанк;1481
"КБ "МАГАРАМКЕНТ" ООО";715
"Банк "Прайм Финанс" (АО)";2758
"НКО ЗАО "МИГОМ";3323
"ОАО "Уралтрансбанк";812
"АО МКБ "ДОМ-БАНК";3209
"ОАО "АКБ САРОВБИЗНЕСБАНК";2048
К2 Банк (ЗАО);2851
"БСТ-БАНК" АО";2883
"КБ "ВИТЯЗЬ" - (ООО)";2890
"ЗАО МКБ "Москомприватбанк";2827
"АО КБ "Приобье";537
"АО "СМБСР Банк";3494
"ОАО КБ "ЕВРОКОММЕРЦ";1777
"КБ "Международный Банк Развития" (ЗАО)";2704
"АКБ "Бенифит-банк" (ЗАО)";3229
"ООО КБ "Славянский кредит";2960
"ООО КБ "Евроазиатский Инвестиционный Банк";2897
"СОЦИУМ-БАНК" (ООО)";2881
"КБ "Интеркредит" (АО)";3047
"Банк "Кузнецкий мост" АО";2254
"КБ "БДБ" (ООО)";1060
"ОАО "БайкалИнвестБанк";1067
"ОАО "ТГБ";3180
"АКБ "ГЛОБУС" (ПАО)";2438
